Country/Region,Date,Confirmed,Deaths,Recovered,New_Confirmed,New_Deaths,Mortality_Rate
United States,2023-03-09,103802702,1123836,0,46931,590,1.08
India,2023-03-09,44690738,530779,0,440,3,1.19
France,2023-03-09,39866718,166176,0,6308,11,0.42
Germany,2023-03-09,38249060,168935,0,7829,127,0.44
Brazil,2023-03-09,37076053,699276,0,0,0,1.89
Japan,2023-03-09,33320438,72997,0,9834,80,0.22
South Korea,2023-03-09,30615522,34093,0,10335,12,0.11
Italy,2023-03-09,25603510,188322,0,0,0,0.74
United Kingdom,2023-03-09,24658705,220721,0,28783,0,0.9
Russia,2023-03-09,22075858,388478,0,12385,38,1.76
Turkey,2023-03-09,17042722,101492,0,0,0,0.6
Spain,2023-03-09,13770429,119479,0,0,0,0.87
Vietnam,2023-03-09,11526994,43186,0,0,0,0.37
Australia,2023-03-09,11399460,19574,0,13926,115,0.17
Argentina,2023-03-09,10044957,130472,0,0,0,1.3
Taiwan,2023-03-09,9970937,17672,0,0,0,0.18
Netherlands,2023-03-09,8712835,23705,0,0,0,0.27
Iran,2023-03-09,7572311,144933,0,315,11,1.91
Mexico,2023-03-09,7483444,333188,0,3809,18,4.45
Indonesia,2023-03-09,6738225,160941,0,307,4,2.39
Poland,2023-03-09,6444960,119010,0,3459,21,1.85
Colombia,2023-03-09,6359093,142339,0,0,0,2.24
Austria,2023-03-09,5961143,21970,0,5283,21,0.37
Ukraine,2023-03-09,5711929,119283,0,111,2,2.09
Portugal,2023-03-09,5570473,26266,0,0,0,0.47
Greece,2023-03-09,5548487,34779,0,0,0,0.63
Chile,2023-03-09,5192286,64273,0,3906,19,1.24
Malaysia,2023-03-09,5044718,36967,0,279,0,0.73
China,2023-03-09,4890284,101026,0,0,1,2.07
Israel,2023-03-09,4803824,12329,0,660,4,0.26
Belgium,2023-03-09,4739365,33814,0,11570,39,0.71
Thailand,2023-03-09,4728182,33918,0,0,0,0.72
Czechia,2023-03-09,4618256,42491,0,1142,3,0.92
Peru,2023-03-09,4487553,219539,0,0,0,4.89
Switzerland,2023-03-09,4413911,14210,0,0,1,0.32
Philippines,2023-03-09,4077452,66188,0,150,12,1.62
South Africa,2023-03-09,4067067,102595,0,426,0,2.52
Denmark,2023-03-09,3451036,8345,0,139,4,0.24
Romania,2023-03-09,3346046,67736,0,0,0,2.02
Sweden,2023-03-09,2699339,23777,0,804,46,0.88
Slovakia,2023-03-09,2667551,21035,0,262,2,0.79
Serbia,2023-03-09,2500142,17881,0,873,6,0.72
Iraq,2023-03-09,2465545,25375,0,0,0,1.03
New Zealand,2023-03-09,2236114,2550,0,1,0,0.11
Singapore,2023-03-09,2235294,1722,0,0,0,0.08
Hungary,2023-03-09,2196804,48762,0,0,0,2.22
Bangladesh,2023-03-09,2037871,29445,0,0,0,1.44
Georgia,2023-03-09,1827537,16971,0,0,0,0.93
Jordan,2023-03-09,1746997,14122,0,0,0,0.81
Ireland,2023-03-09,1704502,8708,0,0,0,0.51
Pakistan,2023-03-09,1577411,30644,0,73,0,1.94
Kazakhstan,2023-03-09,1498668,19071,0,0,0,1.27
Norway,2023-03-09,1479506,5213,0,53,0,0.35
Finland,2023-03-09,1463644,8967,0,668,31,0.61
Slovenia,2023-03-09,1331707,7078,0,511,1,0.53
Lithuania,2023-03-09,1307448,9596,0,0,0,0.73
Bulgaria,2023-03-09,1297523,38228,0,72,3,2.95
Morocco,2023-03-09,1272490,16296,0,0,0,1.28
Croatia,2023-03-09,1269326,17987,0,0,0,1.42
Guatemala,2023-03-09,1238247,20182,0,198,0,1.63
Lebanon,2023-03-09,1232828,10841,0,179,1,0.88
Costa Rica,2023-03-09,1209725,9245,0,0,0,0.76
Bolivia,2023-03-09,1194277,22365,0,90,0,1.87
Tunisia,2023-03-09,1151126,29341,0,0,0,2.55
Cuba,2023-03-09,1112643,8530,0,6,0,0.77
Ecuador,2023-03-09,1057121,36014,0,0,0,3.41
United Arab Emirates,2023-03-09,1053213,2349,0,145,0,0.22
Uruguay,2023-03-09,1034303,7617,0,0,0,0.74
Panama,2023-03-09,1031731,8609,0,0,0,0.83
Mongolia,2023-03-09,1007900,2136,0,0,0,0.21
Nepal,2023-03-09,1001154,12020,0,4,0,1.2
Belarus,2023-03-09,994037,7118,0,0,0,0.72
Latvia,2023-03-09,976255,6269,0,27,0,0.64
Saudi Arabia,2023-03-09,830127,9618,0,83,0,1.16
Azerbaijan,2023-03-09,828825,10138,0,6,0,1.22
Paraguay,2023-03-09,808401,19878,0,0,0,2.46
Bahrain,2023-03-09,710693,1553,0,387,0,0.22
West Bank and Gaza,2023-03-09,703228,5708,0,0,0,0.81
Sri Lanka,2023-03-09,672039,16830,0,2,0,2.5
