Date,Confirmed,Deaths,Recovered,New_Confirmed,New_Deaths,Active
2020-01-22,551,17,30,0,0,504
2020-01-23,649,17,32,98,0,600
2020-01-24,930,25,39,281,8,866
2020-01-25,1394,41,42,464,16,1311
2020-01-26,2021,54,56,627,13,1911
2020-01-27,2780,80,65,759,26,2635
2020-01-28,5375,129,108,2595,49,5138
2020-01-29,5911,130,126,536,1,5655
2020-01-30,7890,169,143,1979,39,7578
2020-01-31,9489,211,222,1599,42,9056
2020-02-01,11516,257,284,2027,46,10975
2020-02-02,16186,361,463,4670,104,15362
2020-02-03,19204,425,608,3018,64,18171
2020-02-04,23093,491,826,3889,66,21776
2020-02-05,26739,563,1077,3646,72,25099
2020-02-06,29792,633,1424,3053,70,27735
2020-02-07,33306,717,1908,3514,84,30681
2020-02-08,35947,803,2471,2641,86,32673
2020-02-09,38915,900,3060,2968,97,34955
2020-02-10,41471,1007,3717,2556,107,36747
2020-02-11,43461,1106,4418,1990,99,37937
2020-02-12,43837,1110,4850,376,4,37877
2020-02-13,58941,1360,5929,15104,250,51652
2020-02-14,65436,1511,7616,6495,151,56309
2020-02-15,67543,1652,8904,2107,141,56987
2020-02-16,69698,1756,10321,2155,104,57621
2020-02-17,71716,1851,11955,2018,95,57910
2020-02-18,73582,1987,13693,1866,136,57902
2020-02-19,74077,2102,15397,495,115,56578
2020-02-20,74633,2226,17374,556,124,55033
2020-02-21,75258,2230,17971,625,4,55057
2020-02-22,77015,2437,21856,1757,207,52722
2020-02-23,77393,2448,22307,378,11,52638
2020-02-24,77960,2608,24049,567,160,51303
2020-02-25,78811,2688,26654,851,80,49469
2020-02-26,79781,2749,29091,970,61,47941
2020-02-27,81117,2791,31934,1336,42,46392
2020-02-28,82534,2850,35319,1417,59,44365
2020-02-29,84400,2919,38327,1866,69,43154
2020-03-01,86774,2972,41223,2374,53,42579
2020-03-02,88747,3062,44098,1973,90,41587
2020-03-03,91353,3136,46690,2606,74,41527
2020-03-04,93689,3232,49629,2336,96,40828
2020-03-05,96417,3327,52247,2728,95,40843
2020-03-06,100382,3441,54309,3965,114,42632
2020-03-07,104511,3545,56799,4129,104,44167
2020-03-08,108287,3787,59133,3776,242,45367
2020-03-09,112558,3980,60933,4271,193,47645
2020-03-10,117296,4255,62840,4738,275,50201
2020-03-11,124708,4607,65435,7412,352,54666
2020-03-12,131403,4928,66763,6695,321,59712
2020-03-13,144500,5431,68688,13097,503,70381
2020-03-14,155321,5857,71054,10821,426,78410
2020-03-15,166458,6528,74463,11137,671,85467
2020-03-16,180874,7236,76517,14416,708,97121
2020-03-17,195894,8085,79261,15020,849,108548
2020-03-18,213212,9036,81748,17318,951,122428
2020-03-19,240047,10177,83389,26835,1141,146481
2020-03-20,269234,11748,85834,29187,1571,171652
2020-03-21,301158,13553,90080,31924,1805,197525
2020-03-22,334908,15377,96297,33750,1824,223234
2020-03-23,376817,17466,96785,41909,2089,262566
2020-03-24,417999,19887,106304,41182,2421,291808
2020-03-25,468901,22845,112010,50902,2958,334046
2020-03-26,528771,26086,120381,59870,3241,382304
2020-03-27,591833,29718,129094,63062,3632,433021
2020-03-28,660484,33750,137394,68651,4032,489340
2020-03-29,716059,37553,146850,55575,3803,531656
2020-03-30,779835,41903,162186,63776,4350,575746
2020-03-31,857044,47036,174650,77209,5133,635358
2020-04-01,942085,53657,190190,85041,6621,698238
2020-04-02,1022806,59861,206922,80721,6204,756023
2020-04-03,1105683,66310,221904,82877,6449,817469
2020-04-04,1164468,72586,241911,58785,6276,849971
2020-04-05,1234990,78432,255312,70522,5846,901246
2020-04-06,1308215,84791,271776,73225,6359,951648
2020-04-07,1375765,93230,294500,67550,8439,988035
2020-04-08,1456698,100361,323018,80933,7131,1033319
2020-04-09,1542499,108413,347263,85801,8052,1086823
2020-04-10,1627773,116060,368306,85274,7647,1143407
2020-04-11,1701906,122923,393821,74133,6863,1185162
2020-04-12,1819144,129328,412669,117238,6405,1277147
2020-04-13,1889177,135711,439291,70033,6383,1314175
2020-04-14,1972108,142932,463911,82931,7221,1365265
2020-04-15,2048610,151543,499694,76502,8611,1397373
2020-04-16,2141299,159119,529844,92689,7576,1452336
2020-04-17,2227045,167860,555180,85746,8741,1504005
2020-04-18,2303770,174151,578625,76725,6291,1550994
2020-04-19,2378386,180081,609521,74616,5930,1588784
2020-04-20,2453153,186448,631002,74767,6367,1635703
2020-04-21,2527646,193483,665158,74493,7035,1669005
2020-04-22,2607836,200598,693977,80190,7115,1713261
2020-04-23,2688739,207687,722399,80903,7089,1758653
2020-04-24,2770642,214351,772035,81903,6664,1784256
2020-04-25,2852260,220220,798921,81618,5869,1833119
